Date,Open,High,Low,Close,Adj Close,Volume,,Rsum,,0.02749291,Rmean,0.000443434,
26/04/2018,20.530001,20.91,20.52,20.799999,19.683226,1651643,,0.014634098,0.014634098,0.00020137493,,,
27/04/2018,20.9,21.530001,20.85,21.459999,20.307789,2484945,,0.031730771,0.031730771,0.00097889744,,,
30/04/2018,21.549999,21.85,21.35,21.73,20.563293,1819694,,0.012581594,0.012581594,0.00014733493,,,
01/05/2018,21.700001,22.110001,21.625,21.950001,20.771482,2195256,,0.010124298,0.010124298,0.00009371913,,,
02/05/2018,22.059999,22.26,21.969999,22.23,21.036448,2006821,,0.012756218,0.012756218,0.00015160465,,,
03/05/2018,22.370001,22.52,22.129999,22.42,21.216246,1596404,,0.008547009,0.008547009,0.00006566792,,,
04/05/2018,22.5,22.5,22.030001,22.139999,20.951279,1114837,,-0.012488894,-0.012488894,0.00016724510,,,
07/05/2018,22.290001,22.299999,21.93,22.09,20.903965,1042302,,-0.002258311,-0.002258311,0.00000729943,,,
08/05/2018,22.09,22.360001,22.01,22.24,21.04591,1310795,,0.006790403,0.006790403,0.00004028401,,,
09/05/2018,22.139999,22.299999,21.93,22.129999,20.941814,1132464,,-0.004946088,-0.004946088,0.00002904695,,,
10/05/2018,22.33,22.370001,22.049999,22.129999,20.941814,1206419,,0,0,0.00000019663,,,
11/05/2018,22.16,22.16,21.82,21.959999,20.780943,1319821,,-0.00768188,-0.00768188,0.00006602073,,,
14/05/2018,21.99,22,21.639999,21.85,20.676849,1375411,,-0.005009062,-0.005009062,0.00002972971,,,
15/05/2018,21.690001,21.940001,21.66,21.719999,20.553829,1630331,,-0.005949703,-0.005949703,0.00004087219,,,
16/05/2018,21.6,21.700001,21.299999,21.34,20.194233,1804358,,-0.017495351,-0.017495351,0.00032180000,,,
17/05/2018,21.33,21.620001,21.290001,21.51,20.355106,1299744,,0.007966261,0.007966261,0.00005659292,,,
18/05/2018,21.530001,21.559999,21.219999,21.290001,20.146919,915133,,-0.010227755,-0.010227755,0.00011387427,,,
21/05/2018,21.299999,21.709999,21.299999,21.52,20.364569,903456,,0.010803147,0.010803147,0.00010732364,,,
22/05/2018,21.450001,21.540001,21.299999,21.5,20.34564,1213087,,-0.000929368,-0.000929368,0.00000188459,,,
23/05/2018,21.57,21.83,21.48,21.74,20.572756,1725904,,0.011162791,0.011162791,0.00011490461,,,
24/05/2018,21.65,21.889999,21.51,21.620001,20.4592,1378100,,-0.005519733,-0.005519733,0.00003555936,,,
25/05/2018,21.690001,21.879999,21.530001,21.77,20.601145,1533335,,0.006937974,0.006937974,0.00004217905,,,
28/05/2018,21.84,21.98,21.780001,21.91,20.733627,1212537,,0.006430868,0.006430868,0.00003584937,,,
29/05/2018,21.959999,21.98,21.709999,21.790001,20.620073,896243,,-0.005476906,-0.005476906,0.00003505042,,,
30/05/2018,21.799999,21.945,21.73,21.889999,20.714703,1351149,,0.004589169,0.004589169,0.00001718712,,,
31/05/2018,21.9,22.17,21.75,22.1,20.913427,4809476,,0.009593468,0.009593468,0.00008372312,,,
